Job Title,Job Link,Company Name,Location,Salary,Posted Text,Post Date,Job Age,Job Description,Last Date to Apply,Expiry
Analyst - Logistics,"https://www.glassdoor.co.in/job-listing/analyst-logistics-flex-ltd-JV_IC2836047_KO0,17_KE18,26.htm?jl=1009798080983",Flex LTD3.8,Coimbatore,,4d,2025-07-02,4,"Flex is the diversified manufacturing partner of choice that helps market-leading brands design, build and deliver innovative products that improve the world.
A career at Flex offers the opportunity to make a difference and invest in your growth in a respectful, inclusive, and collaborative environment. If you are excited about a role but don't meet every bullet point, we encourage you to apply and join us to create the extraordinary.
Job Summary
To support our extraordinary teams who build great products and contribute to our growth, we’re looking to add a Analyst – GBS Logistics in Coimbatore, India.
The Analyst - GBS Logistics should quickly and accurately process purchase orders in a fast- paced environment. Additionally, should have excellent stake holders service skills and works well in a team to consistently meet challenging performance targets.
What a typical day looks like:
1. Procure ad hoc rates to support solution requirements - air / ocean / express
2. Managing the rate validity & variable rates
3. Manage and maintain the transportation analysis and decision support systems
4. Transportation Rate Benchmarks
5. Monthly Site Metrics and Logistics Savings Plans Reporting
6. Develop rate databases
7. Maintain Global Transportation Rates with suppliers
8. Contract Management
The experience we’re looking to add to our team:
1. Education: Bachelor’s Degree - B.Com / B.B.A / B.Sc / Diploma
2. Experience: 0 – 3 years
3. Proficiency: ERP/P2P systems BAAN / SAP/ Oracle
4. Mandatory Knowledge of computer software applications, MS Excel, Word &
PowerPoint (PF).
5. Excellent communication skills MANDATORY
Here are a few examples of what you will get for the great work you provide:
1. Health Insurance
2. PTO
#SS03
Job Category
Global Procurement & Supply Chain
Required Skills:
Optional Skills:
Flex pays for all costs associated with the application, interview or offer process, a candidate will not be asked for any payment related to these costs.
Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. We do not discriminate based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status, or any other status protected by law. We're happy to provide reasonable accommodations to those with a disability for assistance in the application process. Please email [email protected] and we'll discuss your specific situation and next steps (NOTE: this email does not accept or consider resumes or applications. This is only for disability assistance. To be considered for a position at Flex, you must complete the application process first).",2025-08-01,Currently Open
Logistics & Services Associate,"https://www.glassdoor.co.in/job-listing/logistics-services-associate-apm-terminals-JV_KO0,28_KE29,42.htm?jl=1009757885455",APM Terminals4.1,India,,30d+,2025-06-06,30,"Opportunity
APM Terminals
Position Summary
This position is responsible to deliver on the SCM Strategy in the geographical area covered by Maersk Area office. Deliver according to the financial and operational targets defined by some of the global customers of Maersk.

Key Responsibilities
Build strong and lasting relationship with the with all stakeholders within the customer’s organisation
Ensure all customer issues and queries are attended to on priority with minimal escalations
Establish relationship-based customer service delivery
Work with the team to deliver top quartile results on customer experience and drive owner mindset for Business
Conversion of the customer demand forecast into capacity plan at a plant level
Work with overseas customer offices on shipment prioritization matrices as well as carrier allocation
Collaborating with the customer, their plants as well as other 3PLs (CHAs, transport operators, carriers) to ensure seamless logistics planning
Coordination of Exports and Import processes across transport models - Ocean, Air, LCL - from cargo readiness & booking to BL release stage
Coordination of material/container pick up with the transport provider, CHA for customs clearance, etc.
Coordinate with the in-plant teams (packaging & MHE) to ensure packaging is export-worthy as well as MHE is/are available on time to ensure loading of product into container/outbound vehicle
Preparation of export-related documents such as CI, PL, SI, BL as well as document pouches and pre-alerts to destinations
Obtain exceptional cost approvals from the plant team as may be needed
Maintain DSRs & other reports
Education:
Bachelor's degree or equivalent in business or related field
Experience:
SCM background with proper understanding of international supply chains
Minimum 5 years of work Experience from operational roles in Logistic industry
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",2025-07-06,Currently Open
DGM - Warehousing & Logistics,"https://www.glassdoor.co.in/job-listing/dgm-warehousing-logistics-wabtec-JV_KO0,25_KE26,32.htm?jl=1009752265430",Wabtec3.8,Tamil Nadu,,30d+,2025-06-06,30,"It’s not just about your career or job title… It’s about who you are and the impact you will make on the world. Because whether it’s for each other or our customers, we put People First. When our people come together, we Expand the Possible and continuously look for ways to improve what we create and how we do it. If you are constantly striving to grow, you’re in good company. We are revolutionizing the way the world moves for future generations, and we want someone who is ready to move with us.
In this role you will lead a warehouse team consisting of 200 people. You need to drive stock accuracy at internal and external warehouses of the plant, Material Availability @ line, ensuring zero stock abnormalities and proactively alerting material shortages. Set up Governance of warehouse processes. Manage 3PL services effectively.
In this role you will:
Ensure ABS cycle-count accuracy >99.5%
Ensure all day-to-day activities are executed as per the set procedures
Fully responsible for line feeding
Guarantee zero-line stoppages on account of available materials
Challenge to meet project targets
Do inventory analysis and report high value/volume inventory & Improve Turns to industry standards
 Improve WMS score to 80% in SCM
Improve stock accuracy as per corporate guidelines and publish the report on monthly basis with C& PA for discrepancies
Support to have Zero Logistics Complaints
Take appropriate action to avoid the ageing of parts in stores
Improve claim management process
Improve Team morale by playing active role within the team
Optimize logistics cost/packaging cost
Work on sustainability projects to reduce the carbon footprint in the supply chain
Improve traceability in warehouse
Work on Kitting of materials
All transactions handled within timelines
Who are we?
Wabtec Corporation is a leading global provider of equipment, systems, digital solutions, and value-added services for freight and transit rail as well as the mining, marine, and industrial markets. Drawing on nearly four centuries of collective experience across Wabtec, GE Transportation, and Faiveley Transport, the company has grown to become One Wabtec, with unmatched digital expertise, technological innovation, and world-class manufacturing and services, enabling the digital-rail-and-transit ecosystems.
Wabtec is focused on performance that drives progress and unlocks our customers’ potential by delivering innovative and lasting transportation solutions that move and improve the world. We are lifelong learners obsessed with making things better to drive exceptional results. Wabtec has approximately 27K employees in facilities throughout the world. Visit our website to learn more! http://www.WabtecCorp.com
Our Commitment to Embrace Diversity:
Wabtec is a global company that invests not just in our products, but also our people by embracing diversity and inclusion. We care about our relationships with our employees and take pride in celebrating the variety of experiences, expertise, and backgrounds that bring us together. At Wabtec, we aspire to create a place where we all belong and where diversity is welcomed and appreciated.
To fulfill that commitment, we rely on a culture of leadership, diversity, and inclusion. We aim to employ the world’s brightest minds to help us create a limitless source of ideas and opportunities. We have created a space where everyone is given the opportunity to contribute based on their individual experiences and perspectives and recognize that these differences and diverse perspectives make us better.
We believe in hiring talented people of varied backgrounds, experiences, and styles… People like you! Wabtec Corporation is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or expression, or protected Veteran status. If you have a disability or special need that requires accommodation, please let us know.",2025-07-06,Currently Open
Customer Experience Agent - Lead Logistics,"https://www.glassdoor.co.in/job-listing/customer-experience-agent-lead-logistics-apm-terminals-JV_KO0,40_KE41,54.htm?jl=1009779085401",APM Terminals4.1,India,,21d,2025-06-15,21,"Opportunity
APM Terminals
Job Description:
Build strong and lasting relationships with customers and provide second-to-none customer service.
Take full responsibilities and end-to-end ownership of customer shipments and issues.
Engage in constructive problem resolution and provide solutions.
Act and communicate proactively and keep customers informed of any issues or changes in bookings.
Address root causes and seek continuous improvements – constantly look for ways to improve work processes.
Work independently and assist the team in realizing goals and standards – share knowledge and best practices.
Take responsibility for the execution of shipment life-cycle process including cross functional coordination.
Adhere to standardized processes and tasks without compromising customer experience.

Key Requirements
Previous experience in shipping/ logistics is highly preferred.
An excellent team player.
Able to work under pressure.
Well organised, efficient and effective.
Strong interpersonal and communication skills.
Fluent in English (written and oral)
The ideal candidate will be a person who has strong business, market and customer understanding with a passion to delight the customer through service.
Has the ability to handle complaints with a positive attitude and is willing to build a long-term relationship with the customer. Is able to influence and persuade the customer and handle exception management. Has the ability to take ownership and work for early resolution and closure of customer issues. Works accurately with eye for detail and has empathy for the customer's situation.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",2025-07-15,Currently Open
"Assoc Specialist, Logistics.","https://www.glassdoor.co.in/job-listing/assoc-specialist-logistics-ansell-JV_IC5021997_KO0,26_KE27,33.htm?jl=1009794139299",Ansell3.7,Navi Mumbai,₹3L - ₹6L (Glassdoor Est.),8d,2025-06-28,8,"Assoc Specialist, Logistics. - (30010848)
Description
Why Ansell?
At Ansell, we stay two steps ahead of workplace risk to deliver innovative safety solutions that enhance people's quality of life. As a global leader in protection solutions, we design and develop a wide range of products including gloves, clothing, and other protective gear, to keep workers safe and productive across industrial, medical, and consumer applications.
 Discover more about our company, our people, and our values by visiting us at Ansell
Ansell is looking for a Associate Specialist, Logistics to join our team in Navi Mumbai (HO).
In this position you will play a vital role in Logistic function to manage the documentation for import.Coordinate and monitor end-to-end export-import operations with freight forwarders, customs brokers, CHAs, and shipping lines to ensure regulatory compliance and timely execution.Manage and verify shipping documentation including Bills of Lading, COO, Invoices, and Packing Lists in line with Indian and international regulations.Ensure adherence to DGFT, Customs, EXIM Policy, and destination country requirements, including licenses, duty payments, and declarations
What benefits and opportunities does Ansell offer?Competitive compensation, including a performance-based annual incentives.Flexible and hybrid working.A culture of belonging and inclusion, collaboration thrives, and everyone feels seen, heard, and empowered—across our global community.Ansell University programs to develop professional and interpersonal skills.Opportunities to advance and grow within the company.Insurances – Medical and Term Life.
What your role will be?
Collaborating with our cross functional teams, and reporting to the Associate Manager, Logistics you will have the opportunity to: Prepare, review, and manage all import documentation including commercial invoices, packing lists, and shipping instructions. Handle and verify Bills of Lading, ensuring accuracy and timely submission.Compile and manage the import checklist, ensuring all required documents are complete and compliant before shipment arrival.Work closely with customs brokers and freight forwarders to file Bills of Entry and clear shipments on time.Monitor and apply duty benefits based on Country of Origin and preferential trade agreements where applicable.Ensure compliance with Additional Drug Controls and regulatory documentation (if importing pharmaceuticals, chemicals, or medical goods).
What will you bring to Ansell?Possess in depth knowledge of Import Export, Customs clearance.
Exposure in managing CHA and Forwarders.
PC skills with an emphasis on spreadsheets and data base programs. Well versed in MS Office software – ie. Ms-Word, Ms-Excel, Ms-PowerPoint, and Power BI
 . Languages in English, Hindi, and local language (Fluency)
 · Strong alignment with Ansell Values:
Whatever you do, take PRIDE:
o Passion
o Reliable
o Integrity
o Deliver
o Empowerment
EEO Statement
Ansell is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee based on race, color, religion, creed, national origin or ancestry, sex, age, physical or mental disability, veteran or military status, genetic information, marital status, parental status or any other legally recognized protected basis under federal, state, or local law. The information collected by this application is solely to determine suitability for employment, verify identity, and maintain employment statistics on applicants.
Our Commitment to Belonging and Inclusion
Ansell’s vision is about creating safe spaces where all perspectives are valued alongside individual contributions.
When we say that everyone deserves to belong, feel included and empowered at work, it's not just words. We want applicants to know that we endeavor to create an inclusive environment that will consider all, regardless of age, gender, background, disability, veteran status, or experience alone! It’s what drives Ansell as an organization towards a workforce that reflects the communities in which we operate, it’s what drives us to serve our customers and stakeholders with pride, and it’s what differentiates Ansell.
Follow us on Instagram, Twitter, LinkedIn, YouTube and Facebook

Primary Location: India-Maharashtra-Navi Mumbai
Work Locations: IN Navi Mumbai Seawoods Grand Central Tower 2 Wing F Seawoods Grand Central Tower 2 – Wing F – Unit 706/7 Plot R-1, Sector 40 THANE 400706
Job: Supply Chain
Organization: Supply Chain
Schedule: Full-time
Job Type: Standard
Job Level: Associate
Job Posting: Jun 30, 2025, 1:13:27 AM",2025-07-28,Currently Open
"Manager, Logistics","https://www.glassdoor.co.in/job-listing/manager-logistics-commscope-JV_IC2872318_KO0,17_KE18,27.htm?jl=1009790413806",CommScope3.4,Verna,₹3L - ₹6L (Glassdoor Est.),11d,2025-06-25,11,"In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.
Due to continuous growth, CommScope is looking to hire a Logistic manager to join its team in Goa, India.
This role will be responsible for overall supply chain management duties including selecting carriers, researching shipping methods, assessing budgets, and organizing storage. The successful candidate must demonstrate strong attention to detail to oversee daily operations and logistics employees. In addition to having excellent interpersonal skills, the candidate should also possess in-depth knowledge of logistics and inventory systems.
How You'll Help Us Connect the World:
The logistics manager will be responsible for strategically planning transportation of finished goods and raw materials, maintaining finished goods' warehouse., and coordinating with internal and external customers.Selecting transporters and negotiating rates and finalizing contracts with service providers.Organizing and monitoring storage and distribution of goods.The goal is to enhance business development and ensure sustainability and customer satisfaction.Keep track of quality, quantity, stock levels, delivery times, transport costs and efficiency.Achieve Container and Vehicle utilization target as per company standards, plan routes and process shipments.Resolve any arising problems or complaints.Supervise, coach and train logistics workforce.Meet cost, productivity, accuracy and timeliness targets, Meeting the SDD and OTP as per company standards.Maintain metrics and analyze data to assess performance and implement improvements.Comply with laws, regulations, and ISO requirements.Maintain high standards of 5s in warehouse.
Required Qualifications for Consideration:
Bachelor's and University Degree in Commerce, BE, Business /Administration, MBA – Logistics or Supply Chain Management will be preferred.Preferrable 20+ years of experience in Logistics in manufacturing industry.
You Will Excite Us If You Have:
Excellent written, verbal, and public speaking communication skills.Excellent analytical, audit, organization skills including ability to collect, structure, analyze and communicate data.Proven track record to lead and manage large work force.Excellent analytical, problem solving and organizational skills.Ability to work independently and balance multiple tasks.Ability to solve problems and think outside of the box.Proficiency with Microsoft Office programs (Word, Excel, Power Point, Power BI) and IT familiarity – SAP
What Happens After You Apply:
Learn how to prepare yourself for the next steps in our hiring process by visiting https://jobs.commscope.com/content/How-We-Hire/?locale=en_US
Why CommScope?
CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables groundbreaking discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.
If you want to grow your career alongside forward-thinking, hardworking, and caring people who strive to create what's next…..come connect to your future at CommScope.
CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at [email protected]",2025-07-25,Currently Open
Legal Coordinator (Contract),"https://www.glassdoor.co.in/job-listing/legal-coordinator-contract-transport-and-logistics-JV_KO0,26_KE27,50.htm?jl=1009770252753",Transport and Logistics4.1,India,,30d,2025-06-06,30,"Opportunity
Job Description
Contract role for 12 months.
Responsible for handling cargo claims.
Responsible for the management and administration of all claims filed Globally.
Responsible for the coordination with local Front desk and guiding them with regards to claim handling.
Provide proactive, efficient, and fair but firm claims and recovery management and obtain best possible claims and recovery settlement for the Group.
Provide technical expertise and advice related to incidents, claims matter and loss prevention initiatives.
Responsible for handling cargo claims from all claimants as per set guidelines.
Key Responsibilities
Handling cargo Claims as per the set guidelines.
Having a customer centric approach at the same time keeping in mind the legal requirement and closing claim within legal ambit
Establish appropriate claims handling relationship in respective management area.
Assess and document factual background of claims matters; establish and update claims file.
Safeguard rights of recovery and drive recovery actions.
Liaise with internal and external stakeholders, such as claimants (customer, recovery agents, lawyer, under writer and P&I) third party claims administrators etc.
Enter and update data in the claims data base (case management) according to corporate guideline.
Manage and settle claims matters in accordance with corporate guideline.
Provide advice and support to Local claim desk related to any claim’s matters.
Keeping data quality at top level.
Formulate, drive and/or support loss prevention initiatives.
Education:
Graduate from recognized university
LLB / LLM or MBA degree would be preferable
Special Skills (Functional/Technical):
Good Analytical skills.
The knowledge of structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.
The knowledge of local maritime laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the political process directly impacting claims handling of the region.
Good Comprehension skills
Excellent team player
Well organized to carry out multi-tasks
Flexible with changes
Take ownership and responsibility of the job assigned
Eye for the details
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",2025-07-06,Currently Open
Logistics Coordinator- US Shift,"https://www.glassdoor.co.in/job-listing/logistics-coordinator-us-shift-fictiv-JV_IC2940587_KO0,30_KE31,37.htm?jl=1009794179706",Fictiv3.7,Bengaluru,₹2L - ₹5L (Glassdoor Est.),8d,2025-06-28,8,"Fictiv Exists to Enable Hardware Innovators to Build Better Products, Faster

Fictiv, coined the ""AWS of manufacturing,"" is a leading technology company transforming the $350 billion manufacturing industry. Our cutting-edge cloud platform uses AI and machine learning algorithms to help companies build hardware at the speed of software. Come join our growing team!
What's in it for you?
List at least two comparative wins for this role over another that someone might consider. Example follows.
Opportunity To Unlock Your Creativity
Think of all the times you were held back from trying new ideas because you were boxed in by bureaucratic legacy processes or old school tactics. Having a growth mindset is deeply ingrained into our company culture since day 1 so Fictiv is an environment where you have the creative liberty and support of the team to try big bold ideas to achieve our sales and customer goals.
Opportunity To Grow Your Career
There are plenty of sales jobs out there. The question is whether any of them will help you grow in your career? Will you be challenged by teammates to achieve your potential? Or are they roles that will ask you to do more of what you've already mastered. At Fictiv, you'll be surrounded by supportive teammates who will push you to be your best through their curiosity and passion.

Your role as a Logistics Coordinator, GCC will be to support and drive improvement to our critical manufacturing functions. We have two sets of customers - our builders, who order parts through us, and our manufacturing partners, who manufacture and assemble these parts - and you'll take the inputs from our builders and work with our manufacturing partners to deliver on our builders' expectations. At Fictiv, we believe in creating and empowering product innovators to create, and you'll be playing a critical role in making that happen.

What is in it for you?
This role provides a high-impact opportunity for professionals who want to go beyond traditional logistics roles. Comparative advantages include:
Strategic Influence Over Operations:
Unlike typical logistics roles that are limited to execution, this position involves direct interaction with cross-functional teams, exception management, and carrier performance tracking, providing exposure to strategic decision-making and business process improvements.
Ownership and Visibility:
Rather than working in a siloed environment, this role offers end-to-end ownership over order fulfillment, from documentation to delivery. This increases personal accountability, but also offers greater visibility into business outcomes, contributing to faster career growth and deeper functional expertise.
Impact in this Role
This Logistics Coordinator role is instrumental in ensuring operational excellence across our US logistics network. You will be at the center of our supply chain, ensuring that shipments are delivered on time, exceptions are resolved quickly, and cost efficiency is maintained through proactive analysis.
The value of this role extends beyond shipment coordination; it strengthens customer trust, supports scalable logistics operations, and contributes to continuous improvement efforts across the organization.
We recognize that impactful team members come from a variety of backgrounds and experiences. If this role sounds exciting, even if you don't meet every listed requirement, we encourage you to apply. Research shows that women often hold back unless they meet 100% of the criteria, while men tend to apply with only 60%. We value drive, adaptability, and a learning mindset just as much as direct experience.
What You'll Be Doing
Coordinating US domestic and US Export shipments: Prepare shipping documentation and ensure that our products are sent to our customers on time.
Order Tracking: Maintain visibility of the status of all our orders and determine risk mitigation strategies to maximize the chance of on-time delivery.
File claims and troubleshoot issues with carriers for damaged and lost products to ensure resolutions and reimbursements. You will also be responsible for supporting issues of routing, direct ship pickups, and carrier scheduling. When necessary, coordinate pickups, using courier services from our manufacturing partners to our customers.
Exception Management: Manage the shipping exceptions. As manufacturing exceptions arise, coordinate with the customer success team and our manufacturing partners to determine the shipping method that best meets our customers' needs to deliver the goods on time.
Develop and maintain key metrics to keep track of performance against KPIs for US-based logistics.
Collaborate with other departments to ensure seamless and efficient integration of logistics processes with end-to-end company workflows.
Validate logistics partner invoices to ensure accuracy and compliance with agreed rates.
Conduct monthly Freight Cost Analysis, identifying cost trends and areas for optimization.
Continuous Improvement and Training.
Provide recommendations to reduce logistics expenses while maintaining service efficiency
Identifying areas of improvement within North American logistics operations, suggesting management solutions, and, when applicable, owning the successful completion of those continuous improvement exercises.
At Fictiv, everybody learns from other members. Take the time to analyze and understand Fictiv's current business operations and share your knowledge with other team members.
Desired Traits
Beyond core Fictiv values, the following traits will be prioritized during the interview process, as they closely align with success in this role and reflect the expectations of key stakeholder personas:
Meticulous and detail-oriented - You have a strong inclination for accuracy and thorough documentation, ensuring nothing falls through the cracks in time-sensitive logistics operations.
Data-driven mindset - You make decisions based on facts and trends, not assumptions, and you use metrics to guide action.
Clear communicator - You are skilled in both verbal and written communication, ensuring alignment across internal teams and external partners.
Self-starter - You take ownership of your work, manage your time effectively, and complete tasks without needing close supervision.
Possible Backgrounds:
Logistics Executive / Coordinator / Specialist
Years of Experience: 2+ years
Specific Requirement: Hands-on experience coordinating domestic and international shipments, managing shipping documentation, and tracking orders.
Preferred Experience: Familiarity with express carriers (UPS, FedEx), air and ground shipments, and freight forwarding operations.
Nice to Have: Experience working with manufacturing partners and handling shipping exceptions.
Customer Service Coordinator / Specialist in Logistics or Supply Chain
Years of Experience: 2+ years
Specific Requirement: Skilled in resolving shipment exceptions and collaborating cross-functionally to meet delivery commitments.
Preferred Experience: Working closely with manufacturing or production teams on order fulfillment logistics.

Nice to Have: Experience validating carrier invoices and exposure to analytics tools for freight cost analysis.

About Fictiv

Our Digital Manufacturing Ecosystem is transforming how the next rockets, self-driving cars, and life-saving robots are designed, developed and delivered to customers around the world.

This transformation is made possible through our technology-backed platform, our global network of manufacturing partners, and our people with deep expertise in hardware and software development.

We're actively seeking potential teammates who can bring diverse perspectives and experience to our culture and company. We believe inclusion is the best way to create a strong, empathetic team. Our belief is that the best team is born from an environment that emphasizes respect, honesty, collaboration, and growth.

We encourage applications from members of underrepresented groups, including but not limited to women, members of the LGBTQ community, people of color, people with disabilities, and veterans.",2025-07-28,Currently Open
Customer Experience Agent/Associate,"https://www.glassdoor.co.in/job-listing/customer-experience-agent-associate-maersk-line-JV_KO0,35_KE36,47.htm?jl=1009802139709",Maersk Line4.1,India,,24h,2025-07-06,0,"Opportunity
Introduction:
At Maersk, we are a global leader in integrated logistics, pioneering the industry for over a century. Our commitment to innovation and transformation continuously redefines the boundaries of what’s possible—setting new benchmarks for efficiency, sustainability, and excellence.
We believe in the power of diversity, collaboration, and continuous learning, and strive to ensure our people reflect the customers we proudly serve. With a workforce of over 100,000 employees across 130 countries, we work together to shape the future of global trade.
Join us as we leverage cutting-edge technologies and create global opportunities. Let’s sail together towards a brighter, more sustainable future with Maersk.
What We Offer:
Impact: Be part of a team that directly contributes to global operations.
Opportunity: Unlock professional and personal growth through diverse career pathways.
Innovation: Work with a team that embraces technology and continuous improvement.
Global Exposure: Collaborate across geographies and cultures.
Work-Life Balance: Flexible working arrangements to support your well-being.
Job Description:
We are looking for dynamic and customer-focused professionals to join our Customer Experience team in a voice and semi-voice process role. This position falls under the administrative stream, supporting global logistics operations through high-quality customer service.
Key Responsibilities:
Handle customer interactions through voice and digital channels.
Manage customer onboarding, queries, and relationship follow-up.
Process case management, channel communication, contract support, and dispute resolution.
Execute tasks using standardized work processes while exercising sound judgment within defined guidelines.
Escalate complex or non-routine issues to senior team members or supervisors.
Collaborate with internal teams to ensure seamless service delivery.
Requirements:
3 to 5 years of experience in a customer service or operations support role.
Strong communication skills, both verbal and written.
Prior experience in a voice or semi-voice process is preferred.
Ability to follow defined processes while applying critical thinking for problem-solving.
Flexible and adaptable to shifting priorities and customer demands.
Willingness to work in a dynamic, collaborative, and fast-paced environment.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",2025-08-05,Currently Open
Logistics Co-Oridinator,"https://www.glassdoor.co.in/job-listing/logistics-co-oridinator-novonesis-JV_IC2851180_KO0,23_KE24,33.htm?jl=1009755407894",Novonesis4.3,Mumbai,₹5L - ₹9L (Glassdoor Est.),30d+,2025-06-06,30,"Are you ready for a new beginning?
We need your talent, knowledge and dedication to better our world with biology.
Our purpose points the way
In Novonesis, we know that solutions rooted in biology can help solve humanity’s biggest challenges. Since we began more than a century ago, this has been our guide. It’s how we've gotten so far. And it’s how we'll impact the future. Now, more than ever, the world needs change. And with biosolutions, the possibilities for transformation are endless.
We’re here to better our world with biology.
In this role you’ll make an impact by:
Shipment Tracking and Monitoring, Delay Management and Resolution, On Time Delivery
Handle Customer Complaint, Data Anaylysis and reporting
Vendor Performance Monitoring, Cost and Effeciency Management, Transporter Bill Checking
Familiarity with ERP systems and procurement modules (e.g., SAP MM,PTP,COUPA,ARIBA )
Monitoring and process control of WH & Logistics operations
Experience working within a logistics or supply chain environment is highly desirable.
Following of Good manufacturing practices.
Adherence to company policy, Standard Operating Procedures, Equipment operating procedures, Standard cleaning procedure, Equipment Cleaning Checklist, Annexure, and safety requirements.
Adherence to EHS and Food safety requirements.
Reporting of non-conformities and implementation of corrective/preventive actions in specific areas of operation.
Co-ordination with cross functional department (Production, EXIM & CSR)
Potentially relevant experience:
Candidate profile :
 4-5 years work experience in warehouse & logistics operations.
 Specific experience in SAP (SAP R/3).
 Proficient in Office 365 - Word, Excel, PowerPoint, Outlook, and OneNote , Teams
 Self-starter with ability to face challenges, resolve issues and implement improvements.
Good written and verbal English speaking and presentation skills.
Basic Qualifications :
Graduation from any stream
Could our purpose be yours? Then apply today!
At Novonesis we commit to an inclusive recruitment process and equality of opportunity for all our job applicants. We recommend you not to attach a cover letter to your application. Instead, please include a few sentences in your resume/CV about why you are applying. To ensure a fair recruitment process, please refrain from adding a photo in your resume/CV.


Novonesis is dedicated to fostering a unique community by embracing and respecting differences. We make all employment decisions based on business needs, ensuring that every individual can thrive, regardless of identity or background such as ethnicity, religion, gender, sexual orientation, age, disability, or veteran status.


Want to learn more?

Learn more about Novonesis, our purpose, and your career opportunities at novonesis.com


Not the right fit for you?

Even if this job isn't the right fit for you, perhaps you know someone who might find it interesting. If so, please feel free to share the job link and encourage them to apply. Thank you for your referral! Please check out our other open positions. The right fit for you could just be a few clicks away.
Stay alert: Avoid recruitment scams

At Novonesis, we are committed to maintaining a safe and transparent recruitment process. Please be aware of potential scams targeting job seekers and take note of the following:
Novonesis will never ask for sensitive personal information, such as bank account details, Social Security numbers, or passwords, at any stage of the hiring process.
Novonesis does not make employment offers without conducting interviews with candidates.
If you receive suspicious communication claiming to be from Novonesis, please do not share any personal or financial information. We encourage you to verify the legitimacy of the message by contacting us directly through our official channels.",2025-07-06,Currently Open
