Job Title,Job Link,Company Name,Location,Salary,Post Date,Job Description,Skills,Last Date to Apply,Expiry
Loan Officer,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=nn5hoLi8da0%3D&RowId=nn5hoLi8da0%3D&OJ=,BHARAT FINANCIAL INCLUSION LIMITED,Andhra Pradesh; Eluru; Hyderabad; Telangana; Rangareddy; Kakinada,Min. 174900 (per annum),2025-07-09,Loan Officers will be responsible for generating leads and meeting sales goals. This field job requires good interpersonal skills and basic understanding of sales process and dynamics.,Communication skills;Sales;Dynamics,2025-08-08,Currently Open
Baking Professional,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=WKIqPx1b1Zc%3D&RowId=WKIqPx1b1Zc%3D&OJ=7k4L7QQ5IOM%3D,Cocoa Mist,Bangalore; Karnataka,Not Specified,2025-07-08,"A baking professional, or baker, prepares and bakes a variety of goods like bread, pastries, cakes, and cookies, ensuring high-quality and consistent results They follow recipes, monitor baking times, and present baked goods appealingly, while maintaining a clean and organized workspace Responsibili...",BAKING;pastries;cakes;Cookies;Baker,2025-08-07,Currently Open
NAPS TRAINEE,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=DiSq1glngjg%3D&RowId=DiSq1glngjg%3D&OJ=7k4L7QQ5IOM%3D,M/S INK IMPACT SERVICES PRIVATE LIMITED,Bangalore; Karnataka,Not Specified,2025-07-08,"Impact Management Services is an eminent brand providing comprehensive services with wide coverage in diverse sectors related to Approvals as Per Factories Act, KSPCB Approvals and KIDBA Approvals, HR & Allied Query Management, CLRA Management, Payroll, Licensing, Registration, Compliances & Consult...",Electrical Technician;Fitter;KSPCB;KIDBA;MECHANICALS;Allied Query;ITI;turner;Manpower,2025-08-07,Currently Open
SALES EXECUTIVE,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=98mJ7nWGccE%3D&RowId=98mJ7nWGccE%3D&OJ=7k4L7QQ5IOM%3D,ASIR AUTOMOBILES PRIVATE LIMITED,Sivaganga; Thoothukkudi; Tamil Nadu; Tirunelveli; Madurai; Theni,144000 - 180000 (per annum),2025-07-08,ANY DEGREE OR DIPLOMA / FRESHER CAN ALSO APPLY THE POST/ THE NATURE OF JOB SALES FOR NEW CARS / GOOD EARNING OPPORTUNIGY. WE ARE NEED DRIVING SKILL. ASSURANCE FOR CAREER GROWTH.,growth;cars;OPPORTUNIGY,2025-08-07,Currently Open
FIREMAN,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=tbizXhyvIos%3D&RowId=tbizXhyvIos%3D&OJ=7k4L7QQ5IOM%3D,AARAV EDUCATIONAL & EMPLOYMENT RESEARCH ORG,Rajnandgaon; Chhattisgarh,Not Specified,2025-07-08,INTERESTED CANDIDATES MAY SEND THEIR RESUME TO EMAIL ID GIVEN BELOW OR MAY CONTACT TO THE PERSON CONTACT NUMBER GIVEN BELOW FOR MORE DETAILS. QUALIFICATION REQUIRED IS 10TH PASS AGE 35 BELOW LOCATION RAJNANDGAON CHHATTISGARH,Fireman,2025-08-07,Currently Open
Patient Care Attendants,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=UfZYp9LKJa4%3D&RowId=UfZYp9LKJa4%3D&OJ=7k4L7QQ5IOM%3D,Quick Fix Solution,All India,164400 - 168000 (per annum),2025-07-08,"In assisting patients with daily activities, hygiene, mobility, and comfort. They ensure proper care, emotional support, and monitor basic health needs while maintaining a clean and safe environment.",mobility,2025-08-07,Currently Open
VI FSP Chandigarh,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=pX4RN2Hj%2Bkg%3D&RowId=pX4RN2Hj%2Bkg%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Sahibzada Ajit Singh Nagar; Punjab; Chandigarh; Panchkula; Haryana,138000 - 144000 (per annum),2025-07-07,"Urgent hiring for Field Sales Promoter for Vodafone Idea Limited. Education 12th passed, Age Up to 32 years Gender Male & Female both can apply Conveyance Not Mandatory Android Phone Mandatory Timing 8 Hrs can start at 7 am or end at 7 pm depending market situation. Preferred Industry Credit Card, T...",Telecom;b2c;B2B;SIMS;Handset,2025-08-06,Currently Open
VI FSP Punjab,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=1s3pzSFjaBg%3D&RowId=1s3pzSFjaBg%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Jalandhar; Patiala; Punjab; Amritsar; Ludhiana; Bathinda,138000 - 144000 (per annum),2025-07-07,"Urgent hiring for Field Sales Promoter for Vodafone Idea Limited. Education 12th passed, Age Up to 32 years Gender Male & Female both can apply Conveyance Not Mandatory Android Phone Mandatory Timing 8 Hrs can start at 7 am or end at 7 pm depending market situation. Preferred Industry Credit Card, T...",Telecom;b2c;B2B;SIMS;Handset,2025-08-06,Currently Open
Excitel Broadband DL NCR,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=UI0ypRWXR1M%3D&RowId=UI0ypRWXR1M%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Faridabad; Haryana; South; Delhi; Ghaziabad; Uttar Pradesh,180000 - 216000 (per annum),2025-07-07,New requirement in Excitel Broadband. Mandatory - Smartphone Profile Description: Cold Calling DoortoDoor Sales Distribution of Brochures Field Sales Broadband Sales Lead Generation Achieve Sales target Confidence in Verbal Communication Organizing promotional activities in allocated areas through s...,distribution;Canopy;Excitel;DoortoDoor;standy,2025-08-06,Currently Open
,,,,Not given,,,,,Unknown
